Ressource,Zone,Type,Contact,Disponibilité,Source
SAMU National,Sénégal (national),Urgence médicale,1515 (gratuit),24h/24,Ministère de la Santé + sources concordantes
Police Secours,Sénégal (national),Urgence sécurité,17 (gratuit),24h/24,Ministère de la Santé
Sapeurs-Pompiers,Sénégal (national),Urgence secours,18 (gratuit),24h/24,Ministère de la Santé
Division de la Santé Mentale (Ministère de la Santé),Sénégal (national — orientation toutes régions),Information et orientation institutionnelle,33 869 42 92 — divisionsantementalesenegal@gmail.com,Heures ouvrables,Brochure DSM sante.gouv.sn
SOS Médecin Dakar,Dakar,Urgence médicale privée,33 889 15 15,24h/24,Source presse santé Sénégal
Service de psychiatrie et psychologie médicale CHNU Fann,Dakar (Avenue Cheikh Anta Diop),Consultation psychiatrique,33 869 18 43,Heures ouvrables,Brochure DSM sante.gouv.sn + source indépendante concordante
Standard général CHNU Fann,Dakar,Orientation hospitalière,33 869 18 18,Heures ouvrables,Sources concordantes
Centre Hospitalier National de Psychiatrie de Thiaroye,Thiaroye/Pikine Dakar (km 18 route de Rufisque),Consultation psychiatrique,33 834 01 58 ou 33 834 05 60,Heures ouvrables,Brochure DSM sante.gouv.sn
Centre de santé Dominique de Pikine,Pikine Dakar,Consultation santé mentale de proximité,33 834 02 72,Heures ouvrables,Brochure DSM sante.gouv.sn
Service de psychiatrie Hôpital Principal de Dakar,Dakar Centre-ville (Rue du Dr Guillet),Consultation psychiatrique,33 839 50 50,Heures ouvrables,Brochure DSM sante.gouv.sn
CEPIAD (Centre Prise en Charge Intégrée des Addictions),Dakar (CHNU Fann),Addictions,33 869 18 62,Heures ouvrables,Brochure DSM sante.gouv.sn
Service de pédopsychiatrie Hôpital des enfants de Diamniadio,Diamniadio (RN2 vers Thiès),Consultation adolescents et enfants,33 879 02 00 ou 33 836 35 21,Heures ouvrables,Brochure DSM sante.gouv.sn
Centre de Santé Mentale Dalal Xel de Thiès,Thiès (km 4 route de St-Louis),Consultation psychiatrique,33 951 41 48 ou 33 951 61 69,Heures ouvrables,Brochure DSM sante.gouv.sn
Consultations itinérantes Dalal Xel Thiès,Louga et Diourbel,Consultation itinérante mensuelle — appeler pour connaître les dates,33 951 41 48,Selon calendrier,Revue Politique africaine 2020 — à confirmer par appel
Centre de Santé Mentale Dalal Xel de Fatick,Fatick (Route nationale 1),Consultation psychiatrique,33 949 21 57,Heures ouvrables,Brochure DSM sante.gouv.sn
Consultations itinérantes Dalal Xel Fatick,Kaolack Mbour Nioro Sokone Gossas,Consultation itinérante — appeler pour connaître les dates,33 949 21 57,Selon calendrier,Revue Politique africaine 2020 — à confirmer par appel
Service de psychiatrie Hôpital Régional de Saint-Louis,Saint-Louis (Sud Saint-Louis),Consultation psychiatrique,33 991 56 66,Heures ouvrables,Brochure DSM sante.gouv.sn
Service de psychiatrie Hôpital Régional de Louga,Louga (Grand-Louga),Consultation psychiatrique,33 967 11 10 ou 33 967 11 07,Heures ouvrables,Brochure DSM sante.gouv.sn
Centre Psychiatrique Djinkoré,Tambacounda (RN7 km 7 route de Kolda),Consultation psychiatrique,77 551 14 74,Heures ouvrables,Brochure DSM sante.gouv.sn
Centre Psychiatrique Emile Badiane,Ziguinchor (Quartier Kenia),Consultation psychiatrique,33 992 11 88 ou 30 119 19 19,Heures ouvrables,Brochure DSM sante.gouv.sn
Centre de Réinsertion Sociale Imam Assane Cissé,Kaolack (Quartier Sing-Sing),Réinsertion et accompagnement,33 941 06 34 ou 77 564 74 25,Heures ouvrables,Brochure DSM sante.gouv.sn
